job location,salary,Employment Status,Educational requirments,job title,company name
Khulna (Khulna Sadar),"
                                                            Negotiable
                                                            ",Full-time,"Bachelor's Degree in any field with preference to degrees in English/Literature, Journalism, Communications, Public Relations, MIS, Marketing, Advertising or Management. Students who have completed A-Level and has exceptional writing skills, can also apply.",SEO Optimized Content Writer,Clipping Design
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Computer Application (BCA),Software Engineer - Implementation & Support of CBS,Genweb2 Limited
Dhaka,"
                                                            ",Full-time,"B.Sc/ M.Sc degree in Computer Science, Engineering or in related subject",JAVA Programmer,A Renowned Software Company
"Dhaka, Dhaka Division","
                                                            Negotiable
                                                            ",Full-time,Bachelor degree in any discipline,Senior Executive (Social Media & Digital marketing),Northern University Bangladesh (NUB Trust.)
"Dhaka Division, Dhaka (Dhanmondi)","
                                                            ",Full-time,Graduate from any recognized university.,Web Developer,Secure Link Services Ltd.
Anywhere in Bangladesh,"
                                                            ",Full-time,"Master of Science (MSc) in Computer Science  Engineering, Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electrical & Electronic Engineering, Bachelor of Science (BSc) in Applied Physics, Bachelor of Science (BSc) in Applied Mathematics",System Support Engineer,Thakral Information Systems Private Limited
Jashore,"
                                                            Negotiable
                                                            ","Full-time, Contractual","Bachelor of Science (BSc), Diploma in Engineering,Skills Required: Web Design",Web Development Trainer,Skill Resource Development Unit (SRDU)
Jashore,"
                                                            Negotiable
                                                            ","Full-time, Contractual","Bachelor of Science (BSc), Diploma in Engineering,Skills Required: Graphic Design (Computer Aided),Graphics Design,Adobe Photoshop",Graphic Design Trainer,Skill Resource Development Unit (SRDU)
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor in Engineering (BEngg),UI/UX Designer,Dnet
Dhaka (Gulshan),"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc),"PHP Developer (CodeIgniter, Laravel)",Triangle Services Limited
Anywhere in Bangladesh,"
                                                            ",Full-time,"Master of Business Administration (MBA) in Accounting, Master of Business Studies (MBS) in Accounting, Bachelor of Business Administration (BBA) in Finance,Candidate having Professional course in this area will get preference  ",Assistant/ Deputy Credit Controller,FLORA LIMITED
Dhaka (Mirpur),"
                                                            Tk. 20000 - 30000 (Monthly)
                                                            ",Full-time,"Bachelor degree in any discipline,Bachelor's Degree in English or Marketing from a reputed Public/National/Private University are more preferable.,Preferred Professional Certification: Google Certification, SEO, Digital Marketing,Training/Trade Course: SEO,Digital Marketing",Executive - Digital Marketing (SEO),NetCoden Inc
Chattogram (Chattogram Sadar),"
                                                            Negotiable
                                                            ",Full-time,Diploma in Engineering in Computer Science,Officer (CCTV Management),Four H Group.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Diploma in Engineering, Bachelor of Science (BSc),Skills Required: PHP,Web Developer","Senior PHP (Laravel, Code Igniter) Developer",EvertechIT
Anywhere in Bangladesh,,"Full-time, Part-time, Contractual","At least 1 year(s),The applicants should have experience in the following business area(s):,Software Company",Android Application Developer,eon systems
Anywhere in Bangladesh,"
                                                            Tk. 50000 - 100000 (Monthly)
                                                            ",Full-time,M.Sc. or B.Sc. in computer Science and engineering from any reputed public or private university.,.NET Developer,Pridesys IT Limited
Dhaka (Uttara),"
                                                            ",Full-time,"Bachelor of Science (BSc),Skills Required: JavaScript,PHP,Ajax,Laravel Framework,HTML5 & CSS3,jQuery",PHP Web Developer,Easca Solutions Limited
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (B.Sc) in Computer Science & Engineering or BBA/MBA from any reputed university,Technical Document Writer,Pridesys IT Limited
Dhaka (Uttara),"
                                                            ",Full-time,Skills Required: Adobe Photoshop/ Illustrator,Mobile Apps UI/UX Graphics Designer,"Snap App Labs, Inc."
Japan,"
                                                            Negotiable
                                                            ",Full-time,B.Sc/ M.Sc in Computer Science and Engineering or any other relevant field,Linux WiFi/BT Support Engineer - Japan,BJIT Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Master of Information & Communication Technology (MICT) in CSE, Bachelor in Engineering (BEngg) in CSE,Bachelor/ Master's degree in CSE/Information Technology or a technology-related discipline,Skills Required: C#,MS SQL Server,ASP.Net,jQuery,MongoDB,Angular.js,AWS",Chief Operation Officer (COO),Smart Technologies (BD) Ltd.
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Computer Application (BCA),UI/ UX Developer,Computing & Information Services
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Diploma in Engineering, Masters degree in any discipline,A+ certification is required.  Additional certifications including Network+, Security+ or Microsoft Desktop Support Engineer/ Microsoft Certified Professional (MCP) certifications are highly desired.,2+ years of technical support experience in the software industry is desired, including but not limited to: malware handling, troubleshooting, and diagnosis experience.,Network infrastructure experience or knowledge (i.e. switches, routers, firewalls, etc).,Knowledge of DNS, DHCP, AD, Group Policy, Linux OS.",Technical System Engineer,Star Tech & Engineering Ltd.
Khulna (Khulna Sadar),"
                                                            Negotiable
                                                            ",Full-time,"Diploma in Engineering,Bachelor of Science (BSc) in CSE or any other preferred , Diploma in computer science. can apply  too",ISP System Engineer,i Smart Group
Dhaka (Uttara),"
                                                            ","Full-time, Internship",Bachelor degree in any discipline,Digital Marketing intern (Female Executive),SEO Audit Software Inc
Dhaka (Gulshan),"
                                                            ","Full-time, Contractual","Bachelor of Science (BSc) in Computer Science & Engineering,If a candidate is not from the related field/ educational background but still has enough knowledge about the job requirement can also apply.",Web Developer,One One and Co. Limited
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,4 to 7 year(s),Web Developer,Northern University Bangladesh (NUB Trust.)
Dhaka,"
                                                            ",Full-time,B.Sc in Computer Science/Engineering,Software Engineer,Genuity Systems Ltd.
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor degree in any discipline,Graduation from any discipline. Minimum 2 years of experience in Telecommunication sector.",IT Application & Business Analyst,National Energy Services Limited
Dhaka (Uttara),"
                                                            ",Full-time,"Bachelor of Computer Application (BCA) in software,Skills Required: Android,Mobile apps developer,IOS",Full-stack Senior Mobile App Developer,"Snap App Labs, Inc."
Dhaka (Gulshan),"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,Proven hands-on software development experience in . Net Framework (ASP .Net, C#, mVC 6, EF 5, linQ).,Required Knowledge on HTML 5, CSS 3, Scripting language [jQuery, bootstrap].,Required knowledge of Relational Databases (RDBMS), SQL Queries (Stored Procedure, Function), SQL Server, Oracle, Mysql.,Required knowledge on Visual Studio.,Knowledge of Reporting Technology Crystal Report.,Strong knowledge of OOP.,Strong verbal and written communications skills both English and Bangla.,Be self-driven and able to work independently as well as in a team.,Must be proactive, energetic and determined to meet a deadline.,Sincerity, honesty, hard work will be the key focus and target oriented.,Analytical ability on Business and Technical issues.",Programmer/ Software Engineer,Avalanche Technologies Ltd.
Chattogram,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science  Engineering from any reputed university.,CCNA & MTCNA course completed will be preferred.",Executive - ICT,Pacific Jeans Limited
Dhaka (Gulshan),"
                                                            Negotiable
                                                            ",Full-time,"B.Sc. in Computer Science, Engineering or related field from any recognized educational institution.",Software Engineer (Android),G-Technologies
"Dhaka, Dhaka Division","
                                                            Negotiable
                                                            ",Full-time,"Bachelor degree in any discipline,Skills Required: MySQL,XML,PHP,WordPress,Laravel Framework,JSON",Web Application Developer (PHP),Metrodesk
Dhaka,"
                                                            Tk. 20000 - 35000 (Monthly)
                                                            ",Full-time,At least Bachelor's degree in Computer Engineering and/or equivalent in relevant field,Officer- IT,Disaster Management Watch
"Dhaka, Dhaka Division","
                                                            Negotiable
                                                            ",Part-time,"Bachelor of Fine Arts (B.F.A) in Graphics Design, Bachelor of Fine Arts (B.F.A) in Graphics Design,Skills Required: Adobe Photoshop,Adobe Illustrator,Adobe indesign",Graphics Designer,Goodhill Realty
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering,Skills Required: MySQL,ASP.Net,PHP,SQL",Software Architect,Aftab Feed Products Ltd.
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ","Full-time, Part-time","Bachelor degree in any discipline,Skills Required: Graphic Design (Computer Aided),Graphics Design,Adobe Photoshop",Web Developer (WordPress),AH Trading
Dhaka Division,"
                                                            ",Full-time,"A Bachelor/ Masters degree in Computer Science/ Information Technology or Equivalent degree from reputed university with good academic record (CGPA 3.0 and above),Information Security Management System (ISMS) / CISA (Preferred)",IT Auditor,A Leading Multinational Commercial Bank
Dhaka,"
                                                            Tk. 23000 - 45000 (Monthly)
                                                            ",Full-time,"Bachelor degree in any discipline,Skills Required: JavaScript,PHP,WordPress,HTML5 & CSS3,Bootstrap",Wordpress Developer,w3CodeMaster
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (B.Sc),Laravel Developer,Planet Hack Limited.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Business Administration (BBA) in Marketing, Master of Business Administration (MBA) in Marketing","Manager/ Sr. Manager, Marketing",PIICKME
Dhaka (Gulshan),"
                                                            Negotiable
                                                            ",Full-time,"B.Sc. in Computer Science, Engineering or related field from any recognized educational institution.",Software Engineer (Java),G-Technologies
Dhaka,,Full-time,Bachelor of Science (BSc) in Computer Science & Engineering,Programmer/ Sr. Programmer,A Reputed Group of Companies
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Contractual,Bachelor of Computer Application (BCA) in Computer Science & Engineering,Executive DOS - Tech Support (KOBD),Kantar Research (Bangladesh) Pvt. Ltd
Dhaka,"
                                                            ",Full-time,"Graduation / Masters preferably in CSE, Mathematics, Physics, Accounting from any reputed university. (no third division/ class)",Assistant Software Engineer,Millennium Information Solution Ltd
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,Skilled applicant from any other relevant field can also apply",Software Engineer (Java - Spring),Oculin Tech BD Ltd.
Dhaka Division,"
                                                            Tk. 30000 - 50000 (Monthly)
                                                            ",Full-time,"Bachelor degree in any discipline,(If you are highly skilled, educational requirement may be waived and you are encouraged to apply)",PPC/ SEM Marketing Specialist,Axilweb
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE, Bachelor of Science (BSc) in ECE, Diploma in computer science.",ISP System Support Engineer,Automation System
"Dhaka Division, Dhaka (Motijheel)","
                                                            Negotiable
                                                            ",Full-time,Bachelor degree in any discipline,Search Engine Optimizer (SEO),Rokomari.com
Anywhere in Bangladesh,"
                                                            Tk. 30000 - 60000 (Monthly)
                                                            ",Full-time,"Bachelor degree in any discipline,If you are highly skilled, educational requirement may be waived and you are encouraged to apply",Software Engineer,Axilweb
Dhaka,"
                                                            ",Full-time,"Bachelor of Arts (BA) in English,Skills Required: Copy writing/ Script Writing",Content Writer,DOM-INNO Developments Ltd.
Dhaka,"
                                                            Tk. 15000 - 22000 (Monthly)
                                                            ",Full-time,Bachelor in Computer Science & Engineering from any reputed institute/university.,Asst. Executive/ Executive - IT,Karnaphuli Group
Dhaka,"
                                                            ",Full-time,"HSC in any discipline, Bachelor degree in any discipline,Skills Required: Adobe Photoshop",Image Editor (Photo Retoucher),CutOutWiz Ltd.
Anywhere in Bangladesh,"
                                                            ",Full-time,"Diploma (Vocational) in Networking system., HSC (Vocational) in Networking/Electrical, SSC (Vocational) in CCTV, Networking System,Diploma in Networking system.,National University students will get preference",Senior Technician/ Asstt. Technician,ASK Cables Ltd.
Dhaka,"
                                                            Tk. 15000 - 30000 (Monthly)
                                                            ","Full-time, Part-time","B. Sc. in CSE  or equivalent,Educational qualification will be considered for experience applicant.",Web Application Developer (PHP - Laravel),Ankon Bangladesh
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Diploma or Bsc in (Computer Science/ ETE). ,Note: Experienced candidates Educational Qualifications are negotiable",Engineer - Technical Support,Zip Net Limited
Dhaka (Mirpur),"
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,Skills Required: MySQL,JavaScript,PHP,Adobe Photoshop/ Illustrator,WordPress,HTML5 & CSS3",Junior WordPress Developer,ByteEver
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Prefer Bachelor of Science (B.Sc) in CSE/ Senior Computer Diploma Holder,IT In-Charge/ IT Executive,A Reputed Company
Gazipur,"
                                                            Negotiable
                                                            ",Full-time,B.Sc in CSE from any reputed University.,IT Incharge,Walton Hi-Tech Industries Ltd.
Dhaka,"
                                                            ",Full-time,"Bachelor in CSE or equivalent is preferred.,Flexible for experienced candidates.",Software Developer/ Software Programmer,2PIBD
Dhaka (Dhanmondi),"
                                                            Tk. 10000 - 12000 (Monthly)
                                                            ",Full-time,,Digital Marketing Expert,InfoStretch IT
